"motif_id"	"candidate_index"	"disease_local_id"	"disease_name"	"disease_mesh_id"	"drug_local_id"	"drug_name"	"drugbank_id"	"gene_local_id"	"gene_symbol"	"gene_entrez_id"	"evidence_source"	"supporting_trials"
"207"	"38985"	"190"	"Schizophrenia"	"D012559"	"641"	"escitalopram"	"DB01175"	"3104"	"SLC6A2"	"6530"	"strict_phase2_3_disease_directed_title"	"NCT00148447[PHASE3] The Efficacy of Escitalopram for Negative Symptoms in Schizophrenia"
"210"	"38797"	"190"	"Schizophrenia"	"D012559"	"99"	"atomoxetine"	"DB00289"	"3104"	"SLC6A2"	"6530"	"strict_phase2_3_disease_directed_title"	"NCT00216281[PHASE3] Efficacy and Safety Study of Clozapine Augmented by Atomoxetine Versus Clozapine Augmented by Placebo in Patients With Chronic Resistant Schizophrenia; NCT00420498[PHASE2] Effects of Atomoxetine on Cognitive Function in Schizophrenia"
"218"	"27888"	"190"	"Schizophrenia"	"D012559"	"174"	"pramipexole"	"DB00413"	"2081"	"DRD1"	"1812"	"strict_phase2_3_disease_directed_title"	"NCT01320982[PHASE3] Minocycline, Acetylsalicylic Acid or Pramipexole vs Placebo in Patients With Schizophrenia or Schizoaffective Disorder"
"224"	"45076"	"190"	"Schizophrenia"	"D012559"	"34"	"lorazepam"	"DB00186"	"3903"	""	"2566"	"strict_phase2_3_disease_directed_title"	"NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia"
"226"	"17638"	"190"	"Schizophrenia"	"D012559"	"174"	"pramipexole"	"DB00413"	"1405"	"DRD3"	"1814"	"strict_phase2_3_disease_directed_title"	"NCT01320982[PHASE3] Minocycline, Acetylsalicylic Acid or Pramipexole vs Placebo in Patients With Schizophrenia or Schizoaffective Disorder"
"229"	"38827"	"190"	"Schizophrenia"	"D012559"	"181"	"methylphenidate"	"DB00422"	"3104"	"SLC6A2"	"6530"	"strict_phase2_3_disease_directed_title"	"NCT05414058[PHASE2] Adjunctive Methylphenidate ER in Patients With Schizophrenia to Improve Functional and Cognitive Outcomes"
"242"	"1594"	"190"	"Schizophrenia"	"D012559"	"400"	"estradiol"	"DB00783"	"72"	"ESR1"	"2099"	"strict_phase2_3_disease_directed_title"	"NCT00206570[PHASE2] Clinical Estradiol Trial in Women With Schizophrenia; NCT03848234[PHASE3] Estradiol Patch as add-on to Antipsychotics in Patients With Schizophrenia, Schizoaffective or Schizophreniform Disorder"
"244"	"38074"	"190"	"Schizophrenia"	"D012559"	"34"	"lorazepam"	"DB00186"	"3044"	"GABRA6"	"2559"	"strict_phase2_3_disease_directed_title"	"NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia"
"260"	"1416"	"190"	"Schizophrenia"	"D012559"	"217"	"raloxifene"	"DB00481"	"72"	"ESR1"	"2099"	"strict_phase2_3_disease_directed_title"	"NCT01280305[PHASE3] Raloxifene in Treatment of Schizophrenia and Schizoaffective Disorder; NCT01573637[PHASE3] Raloxifene as an Adjuvant Treatment of the Negative Symptoms of Schizophrenia in Post-menopausal Women; NCT03043820[PHASE3] Raloxifene Augmentation in Patients With a Schizophrenia Spectrum Disorder"
"262"	"38202"	"190"	"Schizophrenia"	"D012559"	"34"	"lorazepam"	"DB00186"	"3045"	"GABRB1"	"2560"	"strict_phase2_3_disease_directed_title"	"NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia"
"270"	"45556"	"190"	"Schizophrenia"	"D012559"	"34"	"lorazepam"	"DB00186"	"3920"	""	"2561"	"strict_phase2_3_disease_directed_title"	"NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia"
"307"	"8194"	"190"	"Schizophrenia"	"D012559"	"34"	"lorazepam"	"DB00186"	"583"	"GABRD"	"2563"	"strict_phase2_3_disease_directed_title"	"NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia"
"315"	"13883"	"83"	"Lung Neoplasms"	"D008175"	"415"	"pentoxifylline"	"DB00806"	"1092"	"TNF"	"7124"	"strict_phase2_3_disease_directed_title"	"NCT01871454[PHASE2] Safety of Pentoxifylline and Vitamin E With Stereotactic Ablative Radiotherapy (SABR) in Non-small Cell Lung Cancers; NCT06634056[PHASE2] Pneumonitis Prevention Protocol Using Pentoxifylline and α-tocopherol In Stage III Non-Small Cell Lung Cancer Patients Undergoing Chemoradiation"
"321"	"12107"	"18"	"Arthritis, Rheumatoid"	"D001172"	"713"	"Lumiracoxib"	"DB01283"	"985"	"PTGS2"	"5743"	"strict_phase2_3_disease_directed_title"	"NCT00170872[PHASE3] 6 Week Open-label Trial With Lumiracoxib 200mg o.d. in Primary Knee Osteoarthritis or Rheumatoid Arthritis"
"326"	"11709"	"265"	"Colorectal Neoplasms"	"D015179"	"496"	"aspirin"	"DB00945"	"985"	"PTGS2"	"5743"	"strict_phase2_3_disease_directed_title"	"NCT02467582[PHASE3] Adjuvant Aspirin Treatment for Colon Cancer Patients; NCT02607072[PHASE3] Aspirin for Prevention of Postsurgical Recurrence and Metastasis in Asian Colorectal Cancer Patients: a Multi-center Randomized Trial; NCT02945033[PHASE3] Study on Aspirin Versus Placebo in Resected Colon Cancer With PI3K Mutation Stage III or II High Risk; NCT03170115[PHASE2] Induction Chemotherapy Plus Chemoradiotherapy With or Without Aspirin in High Risk Rectal Cancer; NCT04534218[PHASE2] Regorafenib in Combination With Metronomic Chemotherapies, and Low-dose Aspirin in Metastatic Colorectal Cancer; NCT05462613[PHASE2|PHASE3] Regorafenib With Low-dose Chemotherapies and Aspirin Followed by Standard Chemotherapies in Metastatic Colorectal Cancer"
"336"	"24328"	"190"	"Schizophrenia"	"D012559"	"840"	"armodafinil"	"DB06413"	"1566"	"SLC6A3"	"6531"	"strict_phase2_3_disease_directed_title"	"NCT00772005[PHASE2] Study to Evaluate the Efficacy and Safety of Armodafinil as Adjunctive Therapy in Adults With Schizophrenia"
"338"	"23908"	"190"	"Schizophrenia"	"D012559"	"99"	"atomoxetine"	"DB00289"	"1566"	"SLC6A3"	"6531"	"strict_phase2_3_disease_directed_title"	"NCT00216281[PHASE3] Efficacy and Safety Study of Clozapine Augmented by Atomoxetine Versus Clozapine Augmented by Placebo in Patients With Chronic Resistant Schizophrenia; NCT00420498[PHASE2] Effects of Atomoxetine on Cognitive Function in Schizophrenia"
"341"	"12010"	"219"	"Melanoma"	"D008545"	"562"	"Thalidomide"	"DB01041"	"985"	"PTGS2"	"5743"	"strict_phase2_3_disease_directed_title"	"NCT00005815[PHASE1|PHASE2] Temozolomide and Thalidomide in Treating Patients With Stage III or Stage IV Melanoma; NCT00006200[PHASE2] Thalidomide and Dacarbazine for Metastatic Melanoma; NCT00017316[PHASE2] Thalidomide and SU5416 in Treating Patients With Metastatic Melanoma; NCT00026520[PHASE2] Interferon Alfa and Thalidomide in Treating Patients With Stage IV Melanoma; NCT00072163[PHASE2] Temozolomide and Thalidomide in Treating Patients With Brain Metastases Secondary to Melanoma; NCT00072345[PHASE2] Temozolomide, Thalidomide, and Lomustine in Treating Patients With Unresectable Stage III or Stage IV Melanoma; NCT00104988[PHASE2] S0508: Thalidomide and Temozolomide in Treating Patients With Stage IV Melanoma That Cannot Be Removed By Surgery; NCT00238329[PHASE2] PEG-Interferon Alfa-2b and Thalidomide in Treating Patients With Recurrent or Metastatic Melanoma"
"342"	"24563"	"190"	"Schizophrenia"	"D012559"	"34"	"lorazepam"	"DB00186"	"1600"	"GABRB3"	"2562"	"strict_phase2_3_disease_directed_title"	"NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia"
"343"	"34171"	"190"	"Schizophrenia"	"D012559"	"34"	"lorazepam"	"DB00186"	"2539"	"GABRA4"	"2557"	"strict_phase2_3_disease_directed_title"	"NCT00797277[PHASE3] Intramuscular (IM) Olanzapine Versus IM Haloperidol Plus Lorazepam for Acute Agitation in Schizophrenia"
"348"	"23950"	"190"	"Schizophrenia"	"D012559"	"181"	"methylphenidate"	"DB00422"	"1566"	"SLC6A3"	"6531"	"strict_phase2_3_disease_directed_title"	"NCT05414058[PHASE2] Adjunctive Methylphenidate ER in Patients With Schizophrenia to Improve Functional and Cognitive Outcomes"
"357"	"24052"	"190"	"Schizophrenia"	"D012559"	"374"	"modafinil"	"DB00745"	"1566"	"SLC6A3"	"6531"	"strict_phase2_3_disease_directed_title"	"NCT00314639[PHASE1|PHASE2] Modafinil as an Adjunctive on Cognitive Functioning in Patients With Schizophrenia; NCT00838227[PHASE2] Modafinil Augmentation in Chronic Schizophrenia and Schizoaffective Disorder"
"358"	"29929"	"190"	"Schizophrenia"	"D012559"	"174"	"pramipexole"	"DB00413"	"2206"	"HTR1D"	"3352"	"strict_phase2_3_disease_directed_title"	"NCT01320982[PHASE3] Minocycline, Acetylsalicylic Acid or Pramipexole vs Placebo in Patients With Schizophrenia or Schizoaffective Disorder"
"360"	"21112"	"18"	"Arthritis, Rheumatoid"	"D001172"	"415"	"pentoxifylline"	"DB00806"	"1509"	"ADORA2A"	"135"	"strict_phase2_3_disease_directed_title"	"NCT06998628[PHASE2] Pentoxifylline as Anti-Inflammatory in Patients With Rheumatoid Arthritis"
"368"	"24241"	"190"	"Schizophrenia"	"D012559"	"641"	"escitalopram"	"DB01175"	"1566"	"SLC6A3"	"6531"	"strict_phase2_3_disease_directed_title"	"NCT00148447[PHASE3] The Efficacy of Escitalopram for Negative Symptoms in Schizophrenia"
"379"	"19469"	"190"	"Schizophrenia"	"D012559"	"174"	"pramipexole"	"DB00413"	"1407"	"DRD4"	"1815"	"strict_phase2_3_disease_directed_title"	"NCT01320982[PHASE3] Minocycline, Acetylsalicylic Acid or Pramipexole vs Placebo in Patients With Schizophrenia or Schizoaffective Disorder"
"385"	"14031"	"83"	"Lung Neoplasms"	"D008175"	"562"	"Thalidomide"	"DB01041"	"1092"	"TNF"	"7124"	"strict_phase2_3_disease_directed_title"	"NCT00004859[PHASE3] Carboplatin, Paclitaxel, and Radiation Therapy With or Without Thalidomide in Patients With Stage III Non-small Cell Lung Cancer; NCT00025285[PHASE2] Combination Chemotherapy Plus Thalidomide in Treating Patients With Stage IIIB or Stage IV Non-Small Cell Lung Cancer; NCT00053300[PHASE2] Thalidomide in Treating Patients With Extensive-Stage Small Cell Lung Cancer; NCT00061919[PHASE3] Carboplatin and Etoposide With or Without Thalidomide in Treating Patients With Limited-Stage or Extensive-Stage Small Cell Lung Cancer; NCT00114192[PHASE2] Docetaxel and Thalidomide as Second-Line Therapy in Treating Patients With Stage III or Stage IV Non-Small Cell Lung Cancer; NCT00281827[PHASE2] Carboplatin, Gemcitabine, and Thalidomide in Patients Undergoing Surgery for Stage II or III Non-Small Cell Lung Cancer"
"393"	"34610"	"18"	"Arthritis, Rheumatoid"	"D001172"	"1189"	"diacerein"	"DB11994"	"2578"	"IL1B"	"3553"	"strict_phase2_3_disease_directed_title"	"NCT01264211[PHASE2] Safety and Efficacy of the Combination of Diacerein 100 mg Daily and MTX Versus MTX Alone in the Treatment of Early Rheumatoid Arthritis (RA)"
"406"	"11688"	"85"	"Stroke"	"D020521"	"496"	"aspirin"	"DB00945"	"985"	"PTGS2"	"5743"	"strict_phase2_3_disease_directed_title"	"NCT01586975[PHASE2|PHASE3] Aspirin Resistance and Stroke Risk: Platelet Function Analysis in Patients With Ischemic Events; NCT03884530[PHASE3] Ticagrelol Versus Aspirin in Ischemic Stroke; NCT06530537[PHASE3] Cilostazol vs. Aspirin in Acute Non-cardioembolic Stroke With Cerebral mIcrobleeds; NCT06591338[PHASE3] Combining Aspirin With Ticagrelor or Clopidogrel in Large-vessel Minor Stroke or TIA; NCT06591377[PHASE3] Combining Aspirin With Ticagrelor or Cilostazol in Large-vessel Minor Stroke or TIA; NCT06638151[PHASE2] Clopidogrel Plus Aspirin in Acute Ischemic Stroke Following Thrombectomy and/or Intravenous Thrombolysis (CoPrime)"
"409"	"28880"	"190"	"Schizophrenia"	"D012559"	"474"	"ondansetron"	"DB00904"	"2152"	"OPRM1"	"4988"	"strict_phase2_3_disease_directed_title"	"NCT00149734[PHASE3] Addition of Ondansetron to Ongoing Antipsychotic Treatment for Schizophrenia; NCT01121042[PHASE3] Double Blind, Placebo-Controlled, Randomised Investigation of Ondansetron in Schizophrenia"
"413"	"28894"	"190"	"Schizophrenia"	"D012559"	"484"	"Buprenorphine"	"DB00921"	"2152"	"OPRM1"	"4988"	"strict_phase2_3_disease_directed_title"	"NCT05778591[PHASE2] Low-dose Buprenorphine as a Modulator of Social Motivation in Schizophrenia"
"430"	"10549"	"219"	"Melanoma"	"D008545"	"121"	"indomethacin"	"DB00328"	"985"	"PTGS2"	"5743"	"strict_phase2_3_disease_directed_title"	"NCT00002535[PHASE2] Indomethacin Plus Biological Therapy in Treating Patients With Advanced Melanoma"
"437"	"13901"	"221"	"Acute Coronary Syndrome"	"D054058"	"415"	"pentoxifylline"	"DB00806"	"1092"	"TNF"	"7124"	"strict_phase2_3_disease_directed_title"	"NCT04367935[PHASE2|PHASE3] Effect of Pentoxifylline on Endothelial Dysfunction in Patients With Acute Coronary Syndrome"
"444"	"9537"	"219"	"Melanoma"	"D008545"	"165"	"sorafenib"	"DB00398"	"846"	"BRAF"	"673"	"strict_phase2_3_disease_directed_title"	"NCT00110019[PHASE3] Carboplatin and Paclitaxel With or Without Sorafenib Tosylate in Treating Patients With Stage III or Stage IV Melanoma That Cannot Be Removed by Surgery; NCT00119249[PHASE2] Sorafenib in Treating Patients With Stage III or Stage IV Melanoma That Cannot Be Removed By Surgery; NCT00281957[PHASE2] Sorafenib With Either Temsirolimus or Tipifarnib in Treating Patients With Stage IV Malignant Melanoma That Cannot Be Removed By Surgery; NCT00329641[PHASE2] Sorafenib, Carboplatin, and Paclitaxel in Treating Patients With Stage IV Melanoma of the Eye; NCT00387751[PHASE2] Bevacizumab and Sorafenib in Treating Patients With Unresectable Stage III or Stage IV Malignant Melanoma; NCT00483301[PHASE2] A Phase II Trial OF Carboplatin, ABI-007 (Abraxane) And Sorafenib (BAY 43-9006) in Metastatic Melanoma; NCT00492297[PHASE2] A Phase II, Multi-Center, Open-Label, Uncontrolled Study to Evaluate the Efficacy and Safety of Sorafenib Given Daily in Combination With Repeated 21-Day Cycles of Dacarbazine (DTIC) Chemotherapy in Subjects With Advanced Metastatic Melanoma; NCT00492505[PHASE2] Sorafenib, Tamoxifen, and Cisplatin in Treating Patients With High-Risk Stage III Melanoma; NCT00498836[PHASE2] Multicentre, Dose Finding, Ph II,CP-4055 in Comb. With Sorafenib - Patients With Metastatic Malignant Melanoma; NCT00538005[PHASE1|PHASE2] Sorafenib, Bevacizumab, and Oxaliplatin in Treating Patients With Metastatic Malignant Melanoma; NCT00602576[PHASE2] Temozolomide and Sorafenib in Treating Patients With Metastatic or Unresectable Melanoma; NCT00623402[PHASE2] Combined Treatment of Sorafenib and Pegylated Interferon α2b in Stage IV Metastatic Melanoma; NCT00794235[PHASE2] Monocentric Pilot Study Investigating the Metabolic Activity of Melanoma in Vivo During Sorafenib and Dacarbazine; NCT00811759[PHASE1|PHASE2] Sorafenib and Temozolomide in Treating Patients With Stage III or Stage IV Melanoma; NCT01377025[PHASE2] A Study of Sorafenib in Patients With Chemonaive Metastatic Uveal Melanoma; NCT01851408[PHASE2] Sorafenib and Temsirolimus in Treating Patients With Metastatic, Recurrent, or Unresectable Melanoma; NCT02517736[PHASE2] Study Multicentre Evaluating the Effectiveness and Toxicity Sorafenib (Nexavar®) in Adult Patients With Uveal Melanoma and Metastatic Dissemination"
"448"	"16070"	"190"	"Schizophrenia"	"D012559"	"484"	"Buprenorphine"	"DB00921"	"1281"	"OPRK1"	"4986"	"strict_phase2_3_disease_directed_title"	"NCT05778591[PHASE2] Low-dose Buprenorphine as a Modulator of Social Motivation in Schizophrenia"
"450"	"11098"	"219"	"Melanoma"	"D008545"	"287"	"sulindac"	"DB00605"	"985"	"PTGS2"	"5743"	"strict_phase2_3_disease_directed_title"	"NCT00755976[PHASE2] Sulindac and Epirubicin in Treating Patients With Metastatic Malignant Melanoma"
"451"	"9580"	"219"	"Melanoma"	"D008545"	"898"	"regorafenib"	"DB08896"	"846"	"BRAF"	"673"	"strict_phase2_3_disease_directed_title"	"NCT02501551[PHASE2] Regorafenib, C-kit Mutated Malignant Melanoma, 2nd Line Therapy; NCT02587650[PHASE2] Capmatinib, Ceritinib, Regorafenib, or Entrectinib in Treating Patients With BRAF/NRAS Wild-Type Stage III-IV Melanoma; NCT05370807[PHASE2] A Clinical Trial of Regorafenib in Patients With Pretreated Advanced Melanoma"
"455"	"10733"	"219"	"Melanoma"	"D008545"	"216"	"lenalidomide"	"DB00480"	"985"	"PTGS2"	"5743"	"strict_phase2_3_disease_directed_title"	"NCT00482911[PHASE2] Lenalidomide, Sunitinib, and Cyclophosphamide in Treating Patients With Stage IV Eye Melanoma"
"457"	"14021"	"21"	"Psoriasis"	"D011565"	"562"	"Thalidomide"	"DB01041"	"1092"	"TNF"	"7124"	"strict_phase2_3_disease_directed_title"	"NCT01891019[PHASE2] Thalidomide in the Treatment of Chronic Plaque Psoriasis."
"460"	"12016"	"265"	"Colorectal Neoplasms"	"D015179"	"562"	"Thalidomide"	"DB01041"	"985"	"PTGS2"	"5743"	"strict_phase2_3_disease_directed_title"	"NCT00019747[PHASE2] Surgery With or Without Thalidomide in Treating Patients With Recurrent or Metastatic Colorectal Cancer; NCT00310076[PHASE2] Thalidomide in Treating Patients Who Have Undergone Surgery and Chemotherapy for Cancer That Has Spread Throughout the Abdomen Due to Colorectal Cancer or Appendix Cancer; NCT00890188[PHASE2] Thalidomide and Tegafur/Uracil(UFUR) in the Treatment of Advanced Colorectal Cancer; NCT05266820[PHASE2] Trifluridine/Tipiracil (TAS-102) With or Without Thalidomide for the Treatment of Metastatic Colorectal Cancer; NCT06279351[PHASE2] Thalidomide Enhances Clinical Efficacy of Cetuximab Combined With Standard Chemotherapy for Left Colorectal Cancer"
"466"	"36555"	"190"	"Schizophrenia"	"D012559"	"415"	"pentoxifylline"	"DB00806"	"2878"	"PDE4B"	"5142"	"strict_phase2_3_disease_directed_title"	"NCT04094207[PHASE1|PHASE2] Pentoxifylline as an Adjunctive in Treatment of Negative Symptoms in Chronic Schizophrenia"
"469"	"3880"	"18"	"Arthritis, Rheumatoid"	"D001172"	"1189"	"diacerein"	"DB11994"	"124"	"ALOX5"	"240"	"strict_phase2_3_disease_directed_title"	"NCT01264211[PHASE2] Safety and Efficacy of the Combination of Diacerein 100 mg Daily and MTX Versus MTX Alone in the Treatment of Early Rheumatoid Arthritis (RA)"
"471"	"43205"	"190"	"Schizophrenia"	"D012559"	"474"	"ondansetron"	"DB00904"	"3672"	"HTR3A"	"3359"	"strict_phase2_3_disease_directed_title"	"NCT00149734[PHASE3] Addition of Ondansetron to Ongoing Antipsychotic Treatment for Schizophrenia; NCT01121042[PHASE3] Double Blind, Placebo-Controlled, Randomised Investigation of Ondansetron in Schizophrenia"
"473"	"10794"	"219"	"Melanoma"	"D008545"	"218"	"celecoxib"	"DB00482"	"985"	"PTGS2"	"5743"	"strict_phase2_3_disease_directed_title"	"NCT04093323[PHASE2] Polarized Dendritic Cell (aDC1) Based Treatment, Interferon Alpha-2, Rintatolimod, and Celecoxib for the Treatment of HLA-A2+ Refractory Melanoma"
"475"	"13897"	"190"	"Schizophrenia"	"D012559"	"415"	"pentoxifylline"	"DB00806"	"1092"	"TNF"	"7124"	"strict_phase2_3_disease_directed_title"	"NCT04094207[PHASE1|PHASE2] Pentoxifylline as an Adjunctive in Treatment of Negative Symptoms in Chronic Schizophrenia"
"480"	"43265"	"190"	"Schizophrenia"	"D012559"	"1061"	"memantine"	"DB01043"	"3672"	"HTR3A"	"3359"	"strict_phase2_3_disease_directed_title"	"NCT00097942[PHASE2] Evaluation of the Safety and Efficacy of Memantine as Adjunctive Treatment in Schizophrenia Patients; NCT00148616[PHASE3] Memantine for the Treatment of Cognitive Dysfunction and Negative Symptoms in Patients With Chronic Schizophrenia; NCT02001103[PHASE3] Memantine add-on for Cognitive and Negative Symptoms of Schizophrenia; NCT02234752[PHASE2] Galantamine and Memantine Combination for Cognitive Impairments in Schizophrenia; NCT04857983[PHASE2|PHASE3] Memantine Augmentation of Targeted Cognitive Training in Schizophrenia"
"481"	"22833"	"106"	"Obesity"	"D009765"	"259"	"lamotrigine"	"DB00555"	"1559"	"HTR2A"	"3356"	"strict_phase2_3_disease_directed_title"	"NCT00277641[PHASE3] Lamotrigine in the Treatment of Binge Eating Disorder Associated With Obesity"
"484"	"1591"	"106"	"Obesity"	"D009765"	"400"	"estradiol"	"DB00783"	"72"	"ESR1"	"2099"	"strict_phase2_3_disease_directed_title"	"NCT00687739[PHASE3] Prevention of Obesity in Women Via Estradiol Regulation"
"489"	"280"	"106"	"Obesity"	"D009765"	"259"	"lamotrigine"	"DB00555"	"17"	"ADRB1"	"153"	"strict_phase2_3_disease_directed_title"	"NCT00277641[PHASE3] Lamotrigine in the Treatment of Binge Eating Disorder Associated With Obesity"
