file,field,storage_type,shape_or_values,description
hanami_consensus_gene_stars.csv,seed_10_rank,number,one value per row,"Tie-aware HANAMI rank within 46,704 candidates for seed 10."
hanami_consensus_gene_stars.csv,seed_10_hard_clique,boolean,one value per row,Whether HANAMI's clique logit margin is positive for seed 10.
hanami_consensus_gene_stars.csv,seed_20_top_percent,number,one value per row,HANAMI rank percentile for seed 20; lower is better.
hanami_consensus_gene_stars.csv,seed_20_rank,number,one value per row,"Tie-aware HANAMI rank within 46,704 candidates for seed 20."
hanami_consensus_gene_stars.csv,seed_20_hard_clique,boolean,one value per row,Whether HANAMI's clique logit margin is positive for seed 20.
hanami_consensus_gene_stars.csv,seed_30_top_percent,number,one value per row,HANAMI rank percentile for seed 30; lower is better.
hanami_consensus_gene_stars.csv,seed_30_rank,number,one value per row,"Tie-aware HANAMI rank within 46,704 candidates for seed 30."
hanami_consensus_gene_stars.csv,seed_30_hard_clique,boolean,one value per row,Whether HANAMI's clique logit margin is positive for seed 30.
hanami_consensus_gene_stars.csv,seed_40_top_percent,number,one value per row,HANAMI rank percentile for seed 40; lower is better.
hanami_consensus_gene_stars.csv,seed_40_rank,number,one value per row,"Tie-aware HANAMI rank within 46,704 candidates for seed 40."
hanami_consensus_gene_stars.csv,seed_40_hard_clique,boolean,one value per row,Whether HANAMI's clique logit margin is positive for seed 40.
hanami_consensus_gene_stars.csv,seed_50_top_percent,number,one value per row,HANAMI rank percentile for seed 50; lower is better.
hanami_consensus_gene_stars.csv,seed_50_rank,number,one value per row,"Tie-aware HANAMI rank within 46,704 candidates for seed 50."
hanami_consensus_gene_stars.csv,seed_50_hard_clique,boolean,one value per row,Whether HANAMI's clique logit margin is positive for seed 50.
hanami_consensus_gene_stars.csv,seed_60_top_percent,number,one value per row,HANAMI rank percentile for seed 60; lower is better.
hanami_consensus_gene_stars.csv,seed_60_rank,number,one value per row,"Tie-aware HANAMI rank within 46,704 candidates for seed 60."
hanami_consensus_gene_stars.csv,seed_60_hard_clique,boolean,one value per row,Whether HANAMI's clique logit margin is positive for seed 60.
hanami_consensus_gene_stars.csv,seed_70_top_percent,number,one value per row,HANAMI rank percentile for seed 70; lower is better.
hanami_consensus_gene_stars.csv,seed_70_rank,number,one value per row,"Tie-aware HANAMI rank within 46,704 candidates for seed 70."
hanami_consensus_gene_stars.csv,seed_70_hard_clique,boolean,one value per row,Whether HANAMI's clique logit margin is positive for seed 70.
hanami_consensus_gene_stars.csv,seed_80_top_percent,number,one value per row,HANAMI rank percentile for seed 80; lower is better.
hanami_consensus_gene_stars.csv,seed_80_rank,number,one value per row,"Tie-aware HANAMI rank within 46,704 candidates for seed 80."
hanami_consensus_gene_stars.csv,seed_80_hard_clique,boolean,one value per row,Whether HANAMI's clique logit margin is positive for seed 80.
hanami_consensus_gene_stars.csv,seed_90_top_percent,number,one value per row,HANAMI rank percentile for seed 90; lower is better.
hanami_consensus_gene_stars.csv,seed_90_rank,number,one value per row,"Tie-aware HANAMI rank within 46,704 candidates for seed 90."
hanami_consensus_gene_stars.csv,seed_90_hard_clique,boolean,one value per row,Whether HANAMI's clique logit margin is positive for seed 90.
hanami_consensus_gene_stars.csv,high_priority_top10_percent,boolean,one value per row,Whether the HANAMI median rank percentile is at most 10 percent.
hanami_consensus_gene_stars.csv,validation_pair_id,string,one value per row,"Stable hash identifier for one condition-group, disease-node, and drug pair."
clinically_documented_405.csv,clinical_set_index,integer,one value per row,Zero-based row index within the packaged 405-association clinical set.
clinically_documented_405.csv,validation_pair_id,string,one value per row,"Stable hash identifier for one condition-group, disease-node, and drug pair."
clinically_documented_405.csv,evidence_subset,string,one value per row,Whether inclusion came from the 401 automatic matches or four manual strong reviews.
clinically_documented_405.csv,evidence_review_status,string,one value per row,Automatic-not-manually-verified or manually-reviewed-strong evidence status.
clinically_documented_405.csv,condition_group,string,one value per row,One of the six prespecified disease-area groups used in the clinical screen.
clinically_documented_405.csv,disease_local_id,integer,one value per row,Zero-based disease-node index within the MS disease block.
clinically_documented_405.csv,disease_label,string,one value per row,Canonical display label for the MS disease node.
clinically_documented_405.csv,disease_cui,string,one value per row,UMLS CUI mapped to the MS disease node when resolved.
clinically_documented_405.csv,disease_mesh_id,string,one value per row,MeSH identifier of the disease node.
clinically_documented_405.csv,drug_local_id,integer,one value per row,Zero-based drug-node index within the MS drug block.
clinically_documented_405.csv,drug_global_id,integer,one value per row,Global graph node index for the drug.
clinically_documented_405.csv,drugbank_id,string,one value per row,DrugBank identifier for the drug node.
clinically_documented_405.csv,drug_name,string,one value per row,Canonical drug display name.
clinically_documented_405.csv,gene_intermediaries,string,one value per row,"Semicolon-separated gene symbol, Entrez ID, and candidate-pool index records."
clinically_documented_405.csv,gene_symbols,string,one value per row,Semicolon-separated gene symbols for all shared-gene configurations of the pair.
clinically_documented_405.csv,gene_entrez_ids,string,one value per row,Semicolon-separated Entrez identifiers for all shared-gene configurations of the pair.
clinically_documented_405.csv,candidate_indices,string,one value per row,Semicolon-separated candidate-pool indices for the pair's shared-gene configurations.
clinically_documented_405.csv,n_gene_bridges,integer,one value per row,Number of shared-gene configurations for the drug-disease pair.
clinically_documented_405.csv,hanami_median_top_percent,number,one value per row,Ten-seed median HANAMI rank percentile; lower is better.
clinically_documented_405.csv,hanami_q1_top_percent,number,one value per row,First quartile of HANAMI rank percentile across seeds.
clinically_documented_405.csv,hanami_q3_top_percent,number,one value per row,Third quartile of HANAMI rank percentile across seeds.
clinically_documented_405.csv,hard_clique_positive_seeds,integer,one value per row,"Number of seeds with positive clique logit margin, out of ten."
clinically_documented_405.csv,ms_drug_disease_edge_present,boolean,one value per row,False for the packaged MS-unlabeled drug-disease completions.
clinically_documented_405.csv,has_exact_raw_drug_disease_bridge,boolean,one value per row,Whether an exact raw drug-disease record was detected during auditing.
clinically_documented_405.csv,hierarchy_specificity_flag,boolean,one value per row,True when a bridge depends on hierarchy or normalization rather than an exact raw match.
clinically_documented_405.csv,condition_match_kind,string,one value per row,Qualifier describing how the trial condition maps to the MS disease node.
clinically_documented_405.csv,n_phase2_3_trials,integer,one value per row,Number of supporting Phase II/III registry records retained for the pair.
clinically_documented_405.csv,phase2_3_phases,string,one value per row,Semicolon-separated ClinicalTrials.gov phase labels.
clinically_documented_405.csv,nct_ids,string,one value per row,Semicolon-separated ClinicalTrials.gov NCT identifiers.
clinically_documented_405.csv,source_urls,string,one value per row,Semicolon-separated public ClinicalTrials.gov study URLs.
clinically_documented_405.csv,example_trial_title,string,one value per row,Representative ClinicalTrials.gov study title when available.
clinically_documented_405.csv,evidence_notes,string,one value per row,Scope and limitations of the registry evidence or manual review.
clinically_documented_405.csv,source_table,string,one value per row,Frozen local source table from which the evidence row was derived.
figure5_cases_7.csv,panel,string,one value per row,Fig. 5 panel letter.
figure5_cases_7.csv,candidate_index,integer,one value per row,"Zero-based row index in the fixed 46,704-candidate gene-star pool and in every score array."
figure5_cases_7.csv,motif,string,one value per row,Display label formatted as drug-gene-disease.
figure5_cases_7.csv,disease_type,string,one value per row,Disease-area label used for the selected case.
figure5_cases_7.csv,drug_name,string,one value per row,Canonical drug display name.
figure5_cases_7.csv,drugbank_id,string,one value per row,DrugBank identifier for the drug node.
figure5_cases_7.csv,gene_symbol,string,one value per row,Gene symbol used for display.
figure5_cases_7.csv,gene_entrez_id,integer,one value per row,NCBI Entrez Gene identifier.
figure5_cases_7.csv,disease_name,string,one value per row,MeSH display name for the disease node.
figure5_cases_7.csv,disease_mesh_id,string,one value per row,MeSH identifier of the disease node.
figure5_cases_7.csv,clinical_evidence,string,one value per row,Evidence category stated for the selected case.
figure5_cases_7.csv,clinical_reference,string,one value per row,ClinicalTrials.gov identifier or peer-reviewed reference note used for the case.
figure5_cases_7.csv,hanami_median_top_percent,number,one value per row,Ten-seed median HANAMI rank percentile; lower is better.
figure5_cases_7.csv,trimogcl_median_top_percent,number,one value per row,Ten-seed median TriMoGCL rank percentile; lower is better.
figure5_cases_7.csv,trinet_median_top_percent,number,one value per row,Ten-seed median TriNet rank percentile; lower is better.
figure5_cases_7.csv,n2v_mlp_median_top_percent,number,one value per row,Ten-seed median N2V-MLP rank percentile; lower is better.
figure5_cases_7.csv,rf_median_top_percent,number,one value per row,Ten-seed median RF rank percentile; lower is better.
figure5_cases_7.csv,best_baseline,string,one value per row,Baseline with the lowest ten-seed median percentile for this case.
figure5_cases_7.csv,best_baseline_median_top_percent,number,one value per row,Lowest ten-seed median percentile among the four baselines.
figure5_cases_7.csv,in_clinically_documented_405,boolean,one value per row,Whether the exact drug-disease case belongs to the packaged 405-association set.
figure5_cases_7.csv,clinical_405_validation_pair_id,string,one value per row,405-set pair identifier when the case is included; empty otherwise.
figure5_cases_7.csv,ms_motif,string,one value per row,Observed MS topology before clique completion; gene_star in this package.
figure5_cases_7.csv,ms_drug_disease_edge_present,boolean,one value per row,False for the packaged MS-unlabeled drug-disease completions.
clinicaltrials_snapshot.csv.gz,source_disease_local_id,integer,one value per row,MS disease-node index whose ClinicalTrials.gov query produced this snapshot row.
clinicaltrials_snapshot.csv.gz,source_disease_label,string,one value per row,MS disease label used for the query.
clinicaltrials_snapshot.csv.gz,source_condition_group,string,one value per row,Prespecified disease-area group of the source query.
clinicaltrials_snapshot.csv.gz,source_cache_file,string,one value per row,Frozen raw ClinicalTrials.gov export filename.
clinicaltrials_snapshot.csv.gz,source_query_file,string,one value per row,JSON file recording the query and retrieval provenance.
clinicaltrials_snapshot.csv.gz,source_row_number,integer,one value per row,One-based row number within the frozen source CSV export.
clinicaltrials_snapshot.csv.gz,nct_id,string,one value per row,ClinicalTrials.gov NCT identifier.
clinicaltrials_snapshot.csv.gz,phases,string,one value per row,Study phase field from ClinicalTrials.gov.
clinicaltrials_snapshot.csv.gz,study_type,string,one value per row,Study type field from ClinicalTrials.gov.
clinicaltrials_snapshot.csv.gz,interventions,string,one value per row,Intervention field used for drug matching.
clinicaltrials_snapshot.csv.gz,conditions,string,one value per row,Condition field used for disease matching.
clinicaltrials_snapshot.csv.gz,study_title,string,one value per row,ClinicalTrials.gov study title used for contextual flags.
clinicaltrials_snapshot.csv.gz,brief_summary,string,one value per row,ClinicalTrials.gov brief summary used for contextual flags.
gene_star_scores_10seeds.npz,seeds,int64,"(10,)",Ten random seeds in score-array row order.
gene_star_scores_10seeds.npz,candidate_index,int64,"(46704,)",Candidate indices in score-array column order; aligns with gene_star_candidates.csv.
gene_star_scores_10seeds.npz,hanami,float64,"(10, 46704)","HANAMI ranking scores; class-1 logit margins, shape (10, 46704)."
gene_star_scores_10seeds.npz,trimogcl,float64,"(10, 46704)","TriMoGCL ranking scores; class-1 logit margins, shape (10, 46704)."
gene_star_scores_10seeds.npz,trinet,float64,"(10, 46704)","TriNet ranking scores; class-1 logit margins, shape (10, 46704)."
gene_star_scores_10seeds.npz,n2v_mlp,float64,"(10, 46704)","N2V-MLP ranking scores; class-1 logit margins, shape (10, 46704)."
gene_star_scores_10seeds.npz,rf,float64,"(10, 46704)","Random-forest class-1 probabilities, shape (10, 46704)."
frozen_inputs/automatic_phase23_pairs_401.csv,disorder_type,string,one value per row,"Disease-area grouping used in the automatic clinical screen."
frozen_inputs/automatic_phase23_pairs_401.csv,disease_label,string,one value per row,"MS disease label associated with the candidate pair."
frozen_inputs/automatic_phase23_pairs_401.csv,disease_mesh,string,one value per row,"MeSH identifier of the disease."
frozen_inputs/automatic_phase23_pairs_401.csv,drug_name,string,one value per row,"Canonical drug name used for registry matching."
frozen_inputs/automatic_phase23_pairs_401.csv,drugbank_id,string,one value per row,"DrugBank identifier of the drug."
frozen_inputs/automatic_phase23_pairs_401.csv,gene_symbols,string,delimited values,"Shared-gene symbols associated with the drug-disease pair."
frozen_inputs/automatic_phase23_pairs_401.csv,gene_entrez_ids,string,delimited values,"Entrez identifiers corresponding to gene_symbols."
frozen_inputs/automatic_phase23_pairs_401.csv,n_gene_bridges,integer,one value per row,"Number of shared-gene configurations for the pair."
frozen_inputs/automatic_phase23_pairs_401.csv,hanami_median_top_percent,number,one value per row,"Best HANAMI ten-seed median rank percentile available when the frozen table was constructed."
frozen_inputs/automatic_phase23_pairs_401.csv,hanami_q1_top_percent,number,one value per row,"First quartile of the stored HANAMI seed-level rank percentiles."
frozen_inputs/automatic_phase23_pairs_401.csv,hanami_q3_top_percent,number,one value per row,"Third quartile of the stored HANAMI seed-level rank percentiles."
frozen_inputs/automatic_phase23_pairs_401.csv,hard_clique_seeds_max_of_10,integer,0 to 10,"Largest number of seeds that predicted a clique among the pair's gene-star configurations."
frozen_inputs/automatic_phase23_pairs_401.csv,high_priority_top10,boolean,True or False,"Whether the stored HANAMI median rank was within the top 10 percent."
frozen_inputs/automatic_phase23_pairs_401.csv,has_exact_raw_drug_disease_bridge,boolean,True or False,"Whether an exact drug-disease bridge was present in the raw source relations."
frozen_inputs/automatic_phase23_pairs_401.csv,hierarchy_flag,boolean,True or False,"Whether disease-hierarchy mapping was used in the clinical match."
frozen_inputs/automatic_phase23_pairs_401.csv,n_phase2_3_trials,integer,one value per row,"Number of matched Phase II or III registry studies."
frozen_inputs/automatic_phase23_pairs_401.csv,phase2_3_phases,string,delimited values,"Reported phases of the matched studies."
frozen_inputs/automatic_phase23_pairs_401.csv,condition_match_kind,string,one value per row,"Type of mapping between the registry condition and the MS disease node."
frozen_inputs/automatic_phase23_pairs_401.csv,phase2_3_nct_ids,string,delimited values,"ClinicalTrials.gov identifiers supporting the automatic match."
frozen_inputs/automatic_phase23_pairs_401.csv,example_trial_title,string,one value per row,"Title of one representative matched study."
frozen_inputs/automatic_phase23_pairs_401.csv,fda_status,string,one value per row,"FDA-screening status recorded during the upstream screen."
frozen_inputs/automatic_phase23_pairs_401.csv,validation_pair_id,string,one value per row,"Stable identifier for the drug-disease validation pair."
frozen_inputs/manually_reviewed_key_cases.csv,validation_pair_id,string,one value per row,"Stable identifier for the manually reviewed drug-disease pair."
frozen_inputs/manually_reviewed_key_cases.csv,condition_group,string,one value per row,"Disease-area grouping used during manual review."
frozen_inputs/manually_reviewed_key_cases.csv,disease_local_global_id,integer,one value per row,"Stored MS disease-node identifier used by the review workflow."
frozen_inputs/manually_reviewed_key_cases.csv,disease_label,string,one value per row,"MS disease label reviewed against the clinical record."
frozen_inputs/manually_reviewed_key_cases.csv,drug_name,string,one value per row,"Canonical drug name."
frozen_inputs/manually_reviewed_key_cases.csv,drugbank_id,string,one value per row,"DrugBank identifier of the drug."
frozen_inputs/manually_reviewed_key_cases.csv,gene_intermediaries,string,semicolon-delimited values,"Shared-gene records encoded as symbol, Entrez identifier, and candidate-pool index."
frozen_inputs/manually_reviewed_key_cases.csv,classification,string,one value per row,"Manual decision; strong marks an accepted addition to the 405-pair set."
frozen_inputs/manually_reviewed_key_cases.csv,disease_mapping,string,one value per row,"Relationship between the clinical condition and the MS disease category."
frozen_inputs/manually_reviewed_key_cases.csv,supporting_nct_ids,string,semicolon-delimited values,"ClinicalTrials.gov identifiers reviewed for the pair."
frozen_inputs/manually_reviewed_key_cases.csv,supporting_phases,string,semicolon-delimited values,"Clinical phases of the reviewed studies."
frozen_inputs/manually_reviewed_key_cases.csv,supporting_statuses,string,semicolon-delimited values,"Recruitment or completion statuses of the reviewed studies."
frozen_inputs/manually_reviewed_key_cases.csv,source_urls,string,semicolon-delimited values,"URLs of the clinical records used during review."
frozen_inputs/manually_reviewed_key_cases.csv,manual_reason,string,one value per row,"Rationale for the manual classification."
frozen_inputs/manually_reviewed_key_cases.csv,reviewed_utc,string,ISO 8601 datetime,"UTC timestamp of the manual review."
frozen_inputs/manually_reviewed_key_cases.csv,review_scope,string,one value per row,"Scope or candidate group covered by the review."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,validation_pair_id,string,one value per row,"Stable identifier for the consensus drug-disease pair."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,condition_group,string,one value per row,"Disease-area grouping used in candidate screening."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,disease_local_global_id,integer,one value per row,"Stored MS disease-node identifier."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,disease_label,string,one value per row,"MS disease display label."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,disease_cui,string,one value per row,"UMLS concept identifier when resolved."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,disease_mesh,string,one value per row,"MeSH identifier of the disease."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,disease_cui_source,string,one value per row,"Source or resolution status of the disease CUI."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,drug_local_id,integer,one value per row,"Zero-based drug-node index within the MS drug block."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,drug_global_id,integer,one value per row,"Global graph node index for the drug."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,drug_name,string,one value per row,"Canonical drug display name."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,drugbank_id,string,one value per row,"DrugBank identifier of the drug."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,consensus_gene_star_count,integer,one value per row,"Number of consensus gene-star configurations for the pair."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,gene_intermediaries,string,semicolon-delimited values,"Shared-gene records with symbol, Entrez identifier, and candidate-pool index."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,gene_symbols,string,delimited values,"Symbols of the shared genes."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,gene_entrez_ids,string,delimited values,"Entrez identifiers of the shared genes."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,pool_rows,string,delimited integer values,"Candidate-pool indices for the pair's gene-star configurations."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,best_median_top_percent,number,one value per row,"Best ten-seed median HANAMI rank percentile across shared genes."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,best_q1_top_percent,number,one value per row,"First quartile for the best-ranked shared-gene configuration."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,best_q3_top_percent,number,one value per row,"Third quartile for the best-ranked shared-gene configuration."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,best_min_top_percent,number,one value per row,"Best seed-level percentile for the selected configuration."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,best_max_top_percent,number,one value per row,"Worst seed-level percentile for the selected configuration."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,max_hard_clique_positive_seeds,integer,0 to 10,"Largest number of clique-positive seeds across the pair's configurations."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,high_priority_top10_percent,boolean,True or False,"Whether the best median rank was within the top 10 percent."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,raw_drug_disease_exact_cui,boolean,True or False,"Whether the raw drug-disease relation matched the exact disease CUI."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,exact_raw_bridge_motif_count,integer,one value per row,"Number of exact raw drug-disease bridge motifs."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,has_exact_raw_bridge,boolean,True or False,"Whether any exact raw bridge was found."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,any_hierarchy_specificity_flag,boolean,True or False,"Whether any configuration used a disease-hierarchy specificity flag."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,clinicaltrials_status,string,one value per row,"ClinicalTrials.gov screening status in the frozen universe."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,fda_status,string,one value per row,"FDA-screening status in the frozen universe."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,best_seed_0_top_percent,number,one value per row,"Rank percentile for the selected configuration at seed 0."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,best_seed_10_top_percent,number,one value per row,"Rank percentile for the selected configuration at seed 10."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,best_seed_20_top_percent,number,one value per row,"Rank percentile for the selected configuration at seed 20."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,best_seed_30_top_percent,number,one value per row,"Rank percentile for the selected configuration at seed 30."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,best_seed_40_top_percent,number,one value per row,"Rank percentile for the selected configuration at seed 40."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,best_seed_50_top_percent,number,one value per row,"Rank percentile for the selected configuration at seed 50."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,best_seed_60_top_percent,number,one value per row,"Rank percentile for the selected configuration at seed 60."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,best_seed_70_top_percent,number,one value per row,"Rank percentile for the selected configuration at seed 70."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,best_seed_80_top_percent,number,one value per row,"Rank percentile for the selected configuration at seed 80."
frozen_inputs/consensus_drug_disease_pairs_hard9of10.csv,best_seed_90_top_percent,number,one value per row,"Rank percentile for the selected configuration at seed 90."
