disorder_type,disease_label,disease_mesh,drug_name,drugbank_id,gene_symbols,gene_entrez_ids,n_gene_bridges,hanami_median_top_percent,hanami_q1_top_percent,hanami_q3_top_percent,hard_clique_seeds_max_of_10,high_priority_top10,has_exact_raw_drug_disease_bridge,hierarchy_flag,n_phase2_3_trials,phase2_3_phases,condition_match_kind,phase2_3_nct_ids,example_trial_title,fda_status,validation_pair_id
psychiatric_mood,"Depressive Disorder, Major",D003865,haloperidol,DB00502,DRD2; HTR2A; HTR1A; DRD3; DRD4,1813; 3356; 3350; 1814; 1815,5,3.71,2.509,7.147,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,daca720e1fbeb0dc0d8b
psychiatric_mood,"Depressive Disorder, Major",D003865,desipramine,DB01151,DRD2; CHRM3; HTR2A; HTR1A; ADRA1A; SLC6A4; SLC6A2; HTR2C,1813; 1131; 3356; 3350; 148; 6532; 6530; 3358,8,3.798,2.687,8.46,10,True,False,True,3,PHASE3,broader_narrower_depressive_spectrum,NCT00329147;NCT00338962;NCT00366652,Study Evaluating the Effects of DVS SR and Paroxetine on the Pharmacokinetics of Desipramine in Healthy Subjects,not_screened_here,48923d3731360105e864
psychiatric_mood,"Depressive Disorder, Major",D003865,nortriptyline,DB00540,DRD2; CHRM3; HTR2A; HTR1A; SLC6A4; SLC6A2; ADRA1A; HTR2C; ADRB3,1813; 1131; 3356; 3350; 6532; 6530; 148; 3358; 155,9,3.858,2.346,8.562,10,True,False,True,3,PHASE2;PHASE3,broader_narrower_depressive_spectrum,NCT00062738;NCT02374567;NCT03652870,Treatment of Depression in Parkinson's Disease Trial,not_screened_here,bcff103b4df786da6db1
psychiatric_mood,"Depressive Disorder, Major",D003865,levomepromazine,DB01403,DRD2; HTR2A; CHRM3; HTR2C; ADRA1A; DRD3; DRD4,1813; 3356; 1131; 3358; 148; 1814; 1815,7,3.871,2.68,8.084,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,67b5982831623a34f977
psychiatric_mood,"Depressive Disorder, Major",D003865,paliperidone,DB01267,DRD2; HTR2A; HTR1A; ADRA1A; DRD3; HTR2C; DRD4; CYP2D6,1813; 3356; 3350; 148; 1814; 3358; 1815; 1565,8,3.874,2.567,8.377,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,f447047db01b3a25da73
psychiatric_mood,Bipolar Disorder,D001714,topiramate,DB00273,GABRA1; GABRA3; GABRA5; GABRB1; GABRB3; 2561; GABRG1; SCN8A; GRIA2,2554; 2556; 2558; 2560; 2562; 2561; 2565; 6334; 2891,9,3.923,3.209,4.968,10,True,True,False,5,PHASE3,exact_or_named_subtype,NCT00035230;NCT00035802;NCT00037674;NCT00237289;NCT00240721,A Study on the Safety and Efficacy of Topiramate in the Treatment of Patients With Bipolar I Disorder,not_screened_here,959b75d8dbbbcfcc8faa
psychiatric_mood,Depressive Disorder,D003866,ibuprofen,DB01050,PTGS2; BCL2,5743; 596,2,3.96,2.259,14.597,10,True,True,True,1,PHASE2|PHASE3,broader_narrower_depressive_spectrum,NCT02507219,Study of Ibuprofen Effects on Brain Function,not_screened_here,20fb626e0bf47084df0f
psychiatric_mood,"Depressive Disorder, Major",D003865,doxepin,DB01142,DRD2; HTR2A; CHRM3; HTR1A; SLC6A4; ADRA1A; SLC6A2; HTR2C,1813; 3356; 1131; 3350; 6532; 148; 6530; 3358,8,3.983,2.57,7.357,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,e118d5524e647081fe49
psychiatric_mood,"Depressive Disorder, Major",D003865,ibuprofen,DB01050,PTGS2,5743,1,3.986,3.247,6.591,10,True,False,True,1,PHASE2|PHASE3,broader_narrower_depressive_spectrum,NCT02507219,Study of Ibuprofen Effects on Brain Function,not_screened_here,eb518afb4121806f60fe
psychiatric_mood,Bipolar Disorder,D001714,memantine,DB01043,DRD2; HTR3A; GRIN3A; GRIN2B; 2903; GRIN1,1813; 3359; 116443; 2904; 2903; 2902,6,4.023,2.393,6.934,10,True,True,False,3,PHASE2;PHASE2|PHASE3;PHASE3,exact_or_named_subtype,NCT01188148;NCT02630888;NCT03039842,Series Studies of Bipolar Disorder-Valproate add-on Memantine,not_screened_here,8679f78f84d6897806fe
psychiatric_mood,"Depressive Disorder, Major",D003865,quetiapine,DB01224,DRD2; CHRM3; HTR2A; HTR1A; ADRA1A; DRD3; HTR2C; SLC6A2; HTR1B; HTR3A,1813; 1131; 3356; 3350; 148; 1814; 3358; 6530; 3351; 3359,10,4.037,2.088,8.223,10,True,False,True,11,PHASE2;PHASE3,broader_narrower_depressive_spectrum,NCT00174603;NCT00351910;NCT00388973;NCT00681668;NCT00751504;NCT00953108;NCT02374567;NCT02720198;NCT04521478;NCT05603104;NCT05973786,Treatment of Depression With Quetiapine,not_screened_here,a0582e56872aa1f4641e
psychiatric_mood,"Depressive Disorder, Major",D003865,lurasidone,DB08815,DRD2; HTR2A; HTR1A,1813; 3356; 3350,3,4.101,3.384,10.601,10,True,False,True,6,PHASE3,broader_narrower_depressive_spectrum,NCT00868699;NCT00868959;NCT01284517;NCT01421134;NCT01423253;NCT02046369,Lurasidone - A 6-week Study of Patients With Bipolar I Depression (Monotherapy),not_screened_here,7a0221a906093ebce243
psychiatric_mood,"Depressive Disorder, Major",D003865,zuclopenthixol,DB01624,DRD2; HTR2A; ADRA1A,1813; 3356; 148,3,4.124,3.061,8.824,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,627c40fef3f6ebe7262d
psychiatric_mood,"Depressive Disorder, Major",D003865,perphenazine,DB00850,DRD2; HTR2A; HTR2C,1813; 3356; 3358,3,4.17,2.762,7.967,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,2c6b4045475473a18bff
psychiatric_mood,"Depressive Disorder, Major",D003865,ziprasidone,DB00246,DRD2; HTR2A; CHRM3; HTR1A; SLC6A4; DRD3; HTR2C; HTR1B; ADRA1A; DRD4; HTR3A,1813; 3356; 1131; 3350; 6532; 1814; 3358; 3351; 148; 1815; 3359,11,4.182,3.209,8.44,10,True,False,True,5,PHASE2;PHASE3,broader_narrower_depressive_spectrum,NCT00421954;NCT00483548;NCT00555997;NCT00633399;NCT02374567,Open-label Ziprasidone Study for Psychosis Treatment in Adolescents,not_screened_here,49c1f8df53dbc30392f3
psychiatric_mood,"Depressive Disorder, Major",D003865,aripiprazole,DB01238,DRD2; HTR2A; CHRM3; HTR1A; ADRA1A; DRD3; HTR2C; DRD4; HTR3A,1813; 3356; 1131; 3350; 148; 1814; 3358; 1815; 3359,9,4.198,2.02,8.485,10,True,False,True,10,PHASE1|PHASE2;PHASE3,broader_narrower_depressive_spectrum,NCT00276978;NCT00556140;NCT01111539;NCT01111552;NCT01111565;NCT01123707;NCT01386086;NCT01655706;NCT02374567;NCT05814640,Aripiprazole Augmentation Therapy in Treatment-resistant Depression,not_screened_here,75591bacc1ced0262beb
psychiatric_mood,"Depressive Disorder, Major",D003865,fluphenazine,DB00623,DRD2; HTR2A; HTR2C,1813; 3356; 3358,3,4.211,2.555,8.346,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,8fc8fb9f6ee9183a27b8
psychiatric_mood,Bipolar Disorder,D001714,paroxetine,DB00715,HTR2A; CHRM3; CHRM2; SLC6A4; SLC6A2,3356; 1131; 1129; 6532; 6530,5,4.227,3.457,5.31,10,True,True,False,1,PHASE3,exact_or_named_subtype,NCT00119652,Seroquel in Bipolar Depression Versus SSRI,not_screened_here,cf4bdbf68d7f7ec58ef2
psychiatric_mood,Bipolar Disorder,D001714,lorazepam,DB00186,GABRA1; GABRA3; GABRB1; GABRA5; GABRB3; 2561; GABRG1,2554; 2556; 2560; 2558; 2562; 2561; 2565,7,4.238,3.749,6.995,10,True,True,False,1,PHASE2,exact_or_named_subtype,NCT00431184,Effects of Pentazocine Versus Lorazepam on Manic Symptoms,not_screened_here,484b79677cf33480e921
psychiatric_mood,Bipolar Disorder,D001714,scopolamine,DB00747,CHRM3; CHRM2,1131; 1129,2,4.302,3.326,5.373,10,True,True,False,2,PHASE2,exact_or_named_subtype,NCT00369915;NCT04211961,The Antidepressant Efficacy of the Anticholinergic Scopolamine,not_screened_here,7f7ee3e9e22bde8cd746
psychiatric_mood,"Depressive Disorder, Major",D003865,diclofenac,DB00586,PTGS2,5743,1,4.398,3.536,7.081,10,True,False,True,1,PHASE1|PHASE2,broader_narrower_depressive_spectrum,NCT01413854,Diclofenac add-on to Treatment as Usual for Suicidal Patients,not_screened_here,88e78091b6402cffd9fa
psychiatric_mood,"Depressive Disorder, Major",D003865,asenapine,DB06216,DRD2; HTR2A; HTR1A; ADRA1A; HTR2C; DRD3; HTR1B; DRD4,1813; 3356; 3350; 148; 3358; 1814; 3351; 1815,8,4.474,2.709,8.638,10,True,False,True,1,PHASE2,broader_narrower_depressive_spectrum,NCT01807741,Asenapine for Bipolar Depression,not_screened_here,3ebfdadd5b5b8ddb0e8b
psychiatric_mood,"Depressive Disorder, Major",D003865,promethazine,DB01069,DRD2; HTR2A; CHRM3; ADRA1A,1813; 3356; 1131; 148,4,4.569,2.463,7.427,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,689eb24922280923d143
psychiatric_mood,"Depressive Disorder, Major",D003865,Sertindole,DB06144,DRD2; HTR2A; HTR2C; ADRA1A,1813; 3356; 3358; 148,4,4.592,3.08,8.871,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,7ccbfeae030b9887bc1e
psychiatric_mood,"Depressive Disorder, Major",D003865,trimipramine,DB00726,DRD2; CHRM3; HTR2A; SLC6A4; HTR1A; ADRA1A; SLC6A2; HTR2C; HTR3A,1813; 1131; 3356; 6532; 3350; 148; 6530; 3358; 3359,9,4.636,2.077,8.635,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,d95bb8185f724e0d1662
psychiatric_mood,"Depressive Disorder, Major",D003865,scopolamine,DB00747,CHRM3,1131,1,4.649,4.187,8.267,10,True,False,True,3,PHASE2,broader_narrower_depressive_spectrum,NCT00369915;NCT01312844;NCT04211961,The Antidepressant Efficacy of the Anticholinergic Scopolamine,not_screened_here,33cedda08025b1c432ba
psychiatric_mood,Bipolar Disorder,D001714,brexpiprazole,DB09128,DRD2; HTR2A; HTR1A; ADRA2C,1813; 3356; 3350; 152,4,4.706,2.468,6.559,10,True,True,False,4,PHASE3,exact_or_named_subtype,NCT03257865;NCT03259555;NCT03287869;NCT04569448,"A Trial to Assess Brexpiprazole Versus Placebo for the Treatment of Acute Manic Episodes, Associated With Bipolar I Disorder",not_screened_here,6649740cc722d150a31a
psychiatric_mood,"Depressive Disorder, Major",D003865,clozapine,DB00363,DRD2; CHRM3; HTR2A; HTR1A; DRD3; HTR2C; ADRA1A; HTR1B; HTR3A,1813; 1131; 3356; 3350; 1814; 3358; 148; 3351; 3359,9,4.728,2.267,9.14,10,True,False,True,2,PHASE3,broader_narrower_depressive_spectrum,NCT02374567;NCT05603104,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,410cf72b2b01e6cbba3b
psychiatric_mood,"Depressive Disorder, Major",D003865,chlorprothixene,DB01239,DRD2; HTR2A; CHRM3; DRD3; HTR2C,1813; 3356; 1131; 1814; 3358,5,4.829,3.305,8.663,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,65d9a4b80cfaae6639a8
psychiatric_mood,Bipolar Disorder,D001714,cariprazine,DB06016,DRD2; HTR2A; HTR1A; DRD3,1813; 3356; 3350; 1814,4,4.897,3.147,7.149,10,True,True,False,10,PHASE2;PHASE3,exact_or_named_subtype,NCT00852202;NCT01058096;NCT01058668;NCT01059539;NCT01396447;NCT02670538;NCT02670551;NCT03573297;NCT04771299;NCT04777357,Safety and Efficacy of RGH-188 (Cariprazine) in Bipolar Depression,not_screened_here,b62d007e049e4ff4d48d
psychiatric_mood,Depressive Disorder,D003866,paracetamol,DB00316,PTGS2,5743,1,4.903,3.052,21.268,10,True,True,False,1,PHASE2,broader_narrower_depressive_spectrum,NCT04028596,Measuring Blood Flow in the Brain After Epileptic Activity,not_screened_here,8efb1ebda496a39b1432
psychiatric_mood,Bipolar Disorder,D001714,progesterone,DB00396,ESR1; NR3C1; OPRK1; 4306,2099; 2908; 4986; 4306,4,4.95,4.446,7.188,10,True,True,False,1,PHASE2,exact_or_named_subtype,NCT00206544,Anti-Estrogens - A Potential Treatment for Bipolar Affective Disorder in Women?,not_screened_here,93e3a4ae450b824254f3
psychiatric_mood,"Depressive Disorder, Major",D003865,pipamperone,DB09286,DRD2; HTR2A; ADRA1A; HTR1A; DRD3,1813; 3356; 148; 3350; 1814,5,5.131,3.84,8.796,10,True,False,True,2,PHASE3,broader_narrower_depressive_spectrum,NCT01312922;NCT02374567,Pipamperone/Citalopram (PNB01) Versus Citalopram (CIT) and Versus Pipamperone (PIP) in Major Depressive Disorder (MDD),not_screened_here,c7abb247b3149a307887
psychiatric_mood,Depressive Disorder,D003866,diclofenac,DB00586,PTGS2,5743,1,5.169,2.786,13.231,10,True,True,False,1,PHASE1|PHASE2,broader_narrower_depressive_spectrum,NCT01413854,Diclofenac add-on to Treatment as Usual for Suicidal Patients,not_screened_here,8b4b65d150d90d8b18c4
psychiatric_mood,Bipolar Disorder,D001714,vortioxetine,DB09068,HTR2A; HTR1A; HTR2C; SLC6A4; HTR1B; HTR3A,3356; 3350; 3358; 6532; 3351; 3359,6,5.173,4.187,6.817,10,True,True,False,1,PHASE2,exact_or_named_subtype,NCT03598868,Vortioxetine add-on Treatment Improves the Symptoms in Patients With Bipolar Depression,not_screened_here,7a64f88d69ab880ae2c1
psychiatric_mood,"Depressive Disorder, Major",D003865,paracetamol,DB00316,PTGS2,5743,1,5.249,3.665,11.718,10,True,False,True,1,PHASE2,broader_narrower_depressive_spectrum,NCT04028596,Measuring Blood Flow in the Brain After Epileptic Activity,not_screened_here,67eb15d34fa22a4a2009
psychiatric_mood,"Depressive Disorder, Major",D003865,SULPIRIDE,DB00391,DRD2; DRD3,1813; 1814,2,5.328,2.689,8.304,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,ddf75a3c8844282064ac
psychiatric_mood,Depressive Disorder,D003866,celecoxib,DB00482,PTGS2,5743,1,5.593,3.746,19.351,10,True,True,False,3,PHASE3,broader_narrower_depressive_spectrum,NCT02703363;NCT02726659;NCT05644301,Minocycline and Celecoxib as Adjunctive Treatments of Bipolar Depression,not_screened_here,70985c5c2061b8a15519
psychiatric_mood,"Depressive Disorder, Major",D003865,clomipramine,DB01242,HTR2A; SLC6A4; HTR2C; SLC6A2,3356; 6532; 3358; 6530,4,5.652,5.232,8.792,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,659362fcc0493e1fb186
psychiatric_mood,"Depressive Disorder, Major",D003865,flupentixol,DB00875,DRD2; HTR2A; ADRA1A; DRD3,1813; 3356; 148; 1814,4,5.654,2.723,10.001,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,cf94f7b17957a52c73b4
psychiatric_mood,Bipolar Disorder,D001714,escitalopram,DB01175,ADRA1A; SLC6A4; SLC6A2,148; 6532; 6530,3,5.7,3.716,9.969,10,True,True,False,3,PHASE3,exact_or_named_subtype,NCT00958633;NCT05603104;NCT05973786,Mood Stabilizer (MS)+ Antidepressant vs MS + Placebo in Maintenance of Bipolar Disorder.,not_screened_here,e8db96a56eb4a98b6dfe
psychiatric_mood,"Depressive Disorder, Major",D003865,pentoxifylline,DB00806,TNF,7124,1,5.778,1.926,11.741,10,True,False,True,2,PHASE1|PHASE2;PHASE2,broader_narrower_depressive_spectrum,NCT01625845;NCT05324735,Anti-INFLammatory to Address Mood and Endothelial Dysfunction (INFLAMED),not_screened_here,06e9060af6e0cff9b5a0
psychiatric_mood,Depressive Disorder,D003866,lamotrigine,DB00555,CHRM2; DRD2; HTR2A; GABRA3; ADRA2A; DRD1; GABRB3; GABRA6; OPRK1; 1816,1129; 1813; 3356; 2556; 150; 1812; 2562; 2559; 4986; 1816,10,5.788,3.605,23.118,10,True,True,True,5,PHASE2;PHASE3,broader_narrower_depressive_spectrum,NCT00224510;NCT00475137;NCT00652171;NCT01042496;NCT02374567,A Study To Investigate The Antidepressant Effect Of Lamotrigine In Patients With Bipolar Disorder Using Lithium,not_screened_here,4593ba667f14ff8d5c6f
psychiatric_mood,"Depressive Disorder, Major",D003865,bromperidol,DB12401,DRD2,1813,1,5.798,3.745,10.234,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,b0b49e3e3ffed2ecccde
psychiatric_mood,Bipolar Disorder,D001714,tamoxifen,DB00675,ESR1,2099,1,5.838,4.934,10.81,10,True,True,False,2,PHASE2,exact_or_named_subtype,NCT00026585;NCT00206544,Examination of Tamoxifen in Acute Mania in Patients With Bipolar I Disorder,not_screened_here,14c6e9937548772f04d4
psychiatric_mood,"Depressive Disorder, Major",D003865,Thioridazine,DB00679,DRD2; HTR2A; ADRA1A,1813; 3356; 148,3,5.967,4.3,10.392,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,d2373fcd04bb239946b6
psychiatric_mood,"Depressive Disorder, Major",D003865,pramipexole,DB00413,DRD2; HTR2A; HTR1A; HTR2C; DRD3; HTR1B; DRD4,1813; 3356; 3350; 3358; 1814; 3351; 1815,7,6.059,3.104,8.625,10,True,False,True,3,PHASE2;PHASE3,broader_narrower_depressive_spectrum,NCT00086307;NCT05355337;NCT05825235,Lexapro and Pramipexole and to Treat Major Depression,not_screened_here,0adc31c77a98c8e6ab55
psychiatric_mood,"Depressive Disorder, Major",D003865,amitriptyline,DB00321,CHRM3; HTR2A; HTR1A; ADRA1A; SLC6A4; HTR2C; SLC6A2; HTR1B,1131; 3356; 3350; 148; 6532; 3358; 6530; 3351,8,6.063,4.648,13.332,10,True,False,True,4,PHASE2;PHASE3,broader_narrower_depressive_spectrum,NCT00351910;NCT01049347;NCT02014363;NCT02374567,Efficacy of Seroquel SR in Combination With an Antidepressant in Treatment of Major Depressive Disorder,not_screened_here,8f8fdd245fd932ed21a7
psychiatric_mood,Bipolar Disorder,D001714,melatonin,DB01065,ESR1,2099,1,6.084,5.351,9.157,10,True,True,False,2,PHASE2,exact_or_named_subtype,NCT06226025;NCT07472075,Correcting Circadian Rhythms to Breakthrough in Bipolar Disorder,not_screened_here,c25a7dc3b8aadbd6311f
psychiatric_mood,"Depressive Disorder, Major",D003865,fluspirilene,DB04842,DRD2; HTR2A; HTR1A,1813; 3356; 3350,3,6.112,3.632,9.437,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,873a9148104e0f54abf0
psychiatric_mood,"Depressive Disorder, Major",D003865,pindolol,DB00960,HTR2A; HTR1A; HTR1B; ADRB3,3356; 3350; 3351; 155,4,6.155,4.866,7.961,10,True,False,True,1,PHASE2,broader_narrower_depressive_spectrum,NCT00931775,Citalopram Versus Citalopram Plus Pindolol in Major Depressive Disorder,not_screened_here,4a267c12052c7a16d5bb
psychiatric_mood,"Depressive Disorder, Major",D003865,celecoxib,DB00482,PTGS2,5743,1,6.16,3.925,11.78,10,True,False,True,3,PHASE3,broader_narrower_depressive_spectrum,NCT02703363;NCT02726659;NCT05644301,Minocycline and Celecoxib as Adjunctive Treatments of Bipolar Depression,not_screened_here,0d652e245046d28305ff
psychiatric_mood,"Depressive Disorder, Major",D003865,cariprazine,DB06016,DRD2; HTR2A; HTR1A; DRD3,1813; 3356; 3350; 1814,4,6.26,4.15,9.552,10,True,False,True,11,PHASE2;PHASE3,broader_narrower_depressive_spectrum,NCT00852202;NCT01396447;NCT01469377;NCT01715805;NCT01838876;NCT02670538;NCT02670551;NCT03573297;NCT03738215;NCT03739203;NCT04777357,Safety and Efficacy of RGH-188 (Cariprazine) in Bipolar Depression,not_screened_here,940209b2e904432d41e3
psychiatric_mood,Bipolar Disorder,D001714,acamprosate,DB00659,GABRA1; GABRA3; GABRB1; GABRB3; GABRG1; GRIN3A,2554; 2556; 2560; 2562; 2565; 116443,6,6.343,5.374,8.521,10,True,True,False,1,PHASE1|PHASE2,exact_or_named_subtype,NCT00330486,Open Label Trial of Acamprosate in Bipolar Alcoholics,not_screened_here,2c142db92d51c134164e
psychiatric_mood,Bipolar Disorder,D001714,Midazolam,DB00683,GABRA1; GABRA3; GABRB1; GABRA5; GABRB3; 2561,2554; 2556; 2560; 2558; 2562; 2561,6,6.442,5.204,10.404,10,True,True,False,4,PHASE1|PHASE2;PHASE2;PHASE3,exact_or_named_subtype,NCT01944293;NCT02351869;NCT04939649;NCT05625555,Ketamine for Suicidality in Bipolar Depression,not_screened_here,03247f376df5f8ae52f5
psychiatric_mood,"Depressive Disorder, Major",D003865,memantine,DB01043,DRD2; HTR3A,1813; 3359,2,6.532,3.41,8.484,10,True,False,True,2,PHASE2|PHASE3;PHASE3,broader_narrower_depressive_spectrum,NCT01876823;NCT02374567,Memantine Plus Es-citalopram in Elderly Depressed Patients With Cognitive Impairment,not_screened_here,0e5473be480f07bb6f98
psychiatric_mood,"Depressive Disorder, Major",D003865,benperidol,DB12867,DRD2,1813,1,6.683,3.971,9.38,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,2086ba372427ed33d277
psychiatric_mood,"Depressive Disorder, Major",D003865,pimozide,DB01100,DRD2; HTR2A; HTR1A; DRD3,1813; 3356; 3350; 1814,4,6.691,1.821,7.675,10,True,False,True,1,PHASE3,broader_narrower_depressive_spectrum,NCT02374567,Pharmacovigilance in Gerontopsychiatric Patients,not_screened_here,093bcf7bdcf4cd7dcbcd
